,Date,Local,GoalsLocal,GoalsVisitor,Visitor
15,2018-08-26,Espanyol,2,0,Valencia
25,2018-09-02,Levante,2,2,Valencia
46,2018-09-23,Villarreal,0,0,Valencia
60,2018-09-29,Real Sociedad,0,1,Valencia
92,2018-10-27,Athletic Bilbao,0,0,Valencia
112,2018-11-10,Getafe,0,1,Valencia
134,2018-12-01,Real Madrid,2,0,Valencia
154,2018-12-15,Eibar,1,1,Valencia
173,2019-01-05,Alavés,2,1,Valencia
193,2019-01-19,Celta Vigo,1,2,Valencia
213,2019-02-02,Barcelona,2,2,Valencia
245,2019-02-24,Leganés,1,1,Valencia
266,2019-03-10,Girona,2,3,Valencia
287,2019-03-31,Sevilla,0,1,Valencia
302,2019-04-06,Rayo Vallecano,2,0,Valencia
329,2019-04-21,Betis,1,2,Valencia
333,2019-04-24,Atlético Madrid,3,2,Valencia
359,2019-05-05,Huesca,2,6,Valencia
372,2019-05-18,Valladolid,0,2,Valencia
